기준일,"검체채취
가능여부",시도,시군구,의료기관명,주소,위도,경도,평일 운영시간,토요일 운영시간,"일요일/공휴일
운영시간",대표 전화번호
2021년 05월 04일 12시,○,부산,강서구,부산강서구보건소,부산 강서구 대저2동 1932-1 강서브라이트센터 보건소,35.180293,128.957241,09:00 ~ 18:00,9:00 ~ 18:00,09:00 ~ 18:00,051-970-3415
2021년 05월 04일 12시,○,부산,강서구,의료법인 갑을녹산재단 갑을녹산병원,녹산산단321로 24-8,35.090405,128.853443,09:00 ~ 18:00,09:00 ~ 17:00,10:00 ~ 17:00,051-974-8449
2021년 05월 04일 12시,○,부산,금정구,금정구보건소,부산광역시 금정구 부곡3동 78,35.242047,129.092482,09:00 ~ 17:00,09:00 ~ 17:00,09:00 ~ 17:00,051-519-5051
2021년 05월 04일 12시,○,부산,금정구,세웅병원,부산광역시 금정구 서동로 162(서동),35.214395,129.104104,09:00 ~ 17:00,09:00 ~ 12:30,미운영,051-500-9700
2021년 05월 04일 12시,○,부산,기장군,기장군보건소,부산 기장군 기장읍 신천리 1번지,35.243474,129.222854,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,051-709-8614
2021년 05월 04일 12시,○,부산,기장군,동남권원자력의학원,부산광역시 기장군 장안읍 좌동길 40,35.321294,129.243467,08:30 ~ 17:30,08:30 ~ 12:30,미운영,051-720-5114
2021년 05월 04일 12시,○,부산,기장군,기장병원,부산광역시 기장군 기장읍 대청로72번길 6,35.235909,129.216524,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,051-723-0171
2021년 05월 04일 12시,○,부산,동래구,동래구보건소,부산 동래구 명륜2동 702-54번지 ,35.211396,129.079914,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,051-555-4000
2021년 05월 04일 12시,○,부산,동래구,대동병원,동래구 충렬대로187,35.204382,129.080250,09:00 ~ 17:00,09:00 ~ 12:00,미운영,051-554-1233
2021년 05월 04일 12시,○,부산,동래구,봉생병원,부산광역시 동래구 안연로109번길 27,35.196836,129.091140,09:00 ~ 16:30,미운영,미운영,051-520-5510
2021년 05월 04일 12시,○,부산,동래구,광혜병원,부산광역시 동래구 충렬대로 96,35.207076,129.071226,13:30 ~ 16:00,미운영,미운영,051-503-2111
2021년 05월 04일 12시,○,부산,남구,부산남구보건소,부산 남구 못골로 23,35.135984,129.085010,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,051-607-6460
2021년 05월 04일 12시,○,부산,남구,부산성모병원,부산시 남구 용호로 232번길 25-14,35.110373,129.109361,09:00 ~ 16:00,09:00 ~ 12:00,미운영,051-933-7119
2021년 05월 04일 12시,○,부산,동구,부산동구보건소,부산 동구 수정동(수정제2동) 806-74 동구청 보건소,35.129334,129.044927,09:00 ~ 18:00,09:00 ~ 14:00,09:00 ~ 14:00,051-440-6500
2021년 05월 04일 12시,○,부산,동구,좋은문화병원,부산광역시 동구 범일로 119(범일동),35.140727,129.059055,09:00 ~ 17:00,09:00 ~ 12:00,미운영,051-644-2002
2021년 05월 04일 12시,○,부산,동구,김원묵기념봉생병원,부산광역시 동구 중앙대로 401(좌천동),35.130983,129.050191,09:00 ~ 12:00,09:00 ~ 12:00,미운영,051-664-4000
2021년 05월 04일 12시,○,부산,북구,부산북구보건소,부산 북구 화명동 1531-4 ,"35.239221,",129.014807,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,051-309-4500
2021년 05월 04일 12시,○,부산,북구,부민병원,부산 북구 만덕대로 59,35.211909,129.011278,09:00 ~ 17:00,09:00 ~ 13:00,미운영,051-330-3000
2021년 05월 04일 12시,○,부산,북구,구포성심병원,부산 북구 낙동대로 1786(구포동) ,35.209595,129.004598,09:00 ~ 16:30,09:00 ~ 12:00,미운영,051-330-2001
2021년 05월 04일 12시,○,부산,서구,부산서구보건소,부산 서구 부용동2가(부민동) 86 서구보건소 부민노인복지관,35.107526,129.018097,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,051-240-4891
2021년 05월 04일 12시,○,부산,서구,부산대학교병원,구덕로 179,35.100514,129.019099,09:00 ~ 18:00,미운영,미운영,051-240-7051
2021년 05월 04일 12시,○,부산,서구,동아대학교병원,대신공원로 26,35.119925,129.017600,08:00 ~ 16:50,미운영,미운영,051-240-5085
2021년 05월 04일 12시,○,부산,서구,고신대학교복음병원,감천로 262,35.080389,129.015924,09:00 ~ 12:00,미운영,미운영,051-990-3233
2021년 05월 04일 12시,○,부산,서구,삼육부산병원,대티로 170,35.112617,129.011162,09:00 ~ 17:00,미운영,09:00 ~ 17:00,051-600-7575
2021년 05월 04일 12시,○,부산,중구,부산중구보건소,부산 중구 대청동1가 중구청 중구로 120,35.106241,129.032351,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,051-600-4741
2021년 05월 04일 12시,○,부산,중구,메리놀병원,중구로 121,35.107305,129.032558,11:00 ~ 17:00,미운영,미운영,051-461-2331
2021년 05월 04일 12시,○,부산,부산진구,부산진구보건소,부산 부산진구 범천동(범천제1동) 849-10 부산진보건소,35.146282,129.059970,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,051-645-4000
2021년 05월 04일 12시,○,부산,부산진구,인제대학교부산백병원,복지로 75,35.146073,129.020878,09:00 ~ 16:00,미운영,미운영,051-890-8933
2021년 05월 04일 12시,○,부산,부산진구,온종합병원,가야대로 721,35.157775,129.050017,11:00 ~ 16:00,11:00 ~ 12:00,미운영,051-607-0832
